university,school,degree,recordCount
"Nanyang Technological University","College of Humanities, Arts & Social Sciences","Art, Design & Media","6"
"Singapore Management University","School of Accountancy (4-year programme) *","Accountancy (Cum Laude and above)","5"
"National University of Singapore","Faculty of Science","Bachelor of Applied Science (Hons)","5"
"Singapore Management University","School of Information Systems (4-year programme) *","Information Systems","5"
"Nanyang Technological University","College of Sciences","Mathematics & Economics","5"
"National University of Singapore","Faculty of Science","Bachelor of Applied Science **","5"
"National University of Singapore","School of Design & Environment","Bachelor of Arts (Architecture) #","5"
"National University of Singapore","NUS Business School","Bachelor of Business Administration (Accountancy) ^","5"
"Singapore Institute of Technology","DigiPen Institute of Technology","Bachelor of Fine Arts in Digital Art and Animation","5"
"Singapore University of Social Sciences","School of Business","Bachelor of Science in Finance","5"
"Singapore Management University","School of Business (4-year programme) *","Business Management (Cum Laude and above)","5"
"National University of Singapore","Faculty of Engineering","Bachelor of Engineering (Biomedical Engineering)","5"
"National University of Singapore","Multi-Disciplinary Programmes","Bachelor of Engineering (Computer Engineering)","5"
"National University of Singapore","NUS Business School","Bachelor of Business Administration (Accountancy)","5"
"National University of Singapore","School of Computing","Bachelor of Computing (Computational Biology) **","5"
"Singapore Institute of Technology","Wheelock College","Bachelor of Science in Early Childhood Education","5"
"Singapore Management University","School of Economics (4-year programme) *","Economics (Cum Laude and above)","5"
"Nanyang Technological University","College of Humanities, Arts & Social Sciences","Public Policy and Global Affairs","5"
"Singapore Management University","School of Law (4-year programme) *","Law (Cum Laude and above) #","5"
"Singapore Management University","School of Social Sciences (4-year programme) *","Social Sciences (Cum Laude and above)","5"
"Singapore Institute of Technology","Newcastle University","Bachelor of Engineering with Honours in Chemical Engineering","5"
"Singapore Management University","School of Information Systems (4-year programme) *","Information Systems (Cum Laude and above)","5"
"National University of Singapore","Yale-NUS College","Bachelor of Science with Honours","4"
"National University of Singapore","School of Computing","Bachelor of Computing (Electronic Commerce) **","4"
"Singapore Institute of Technology","Singapore Institute of Technology (SIT)","Bachelor of Engineering with Honours in Sustainable Infrastructure Engineering (Land)","4"
"National University of Singapore","YLL School of Medicine","Bachelor of Science (Nursing)","4"
"Singapore Institute of Technology","Singapore Institute of Technology (SIT)","Bachelor of Engineering with Honours in Pharmaceutical Engineering","4"
"Singapore Institute of Technology","Singapore Institute of Technology (SIT)","Bachelor of Engineering with Honours in Telematics (Intelligent Transportation Systems Engineering)","4"
"Nanyang Technological University","College of Humanities, Arts & Social Sciences","Art, Design and Media","4"
"Nanyang Technological University","College of Engineering","Business and Computer Engineering **","4"
"Nanyang Technological University","College of Humanities, Arts & Social Sciences","Philosophy","4"
"Singapore Institute of Technology","University of Manchester","Bachelor of Science with Honours in Nursing Practice","4"
"Singapore University of Social Sciences","S R Nathan School of Human Development","Bachelor of Human Resource Management","4"
"Singapore Institute of Technology","Newcastle University","Bachelor of Engineering with Honours in Electrical Power Engineering","4"
"Singapore Institute of Technology","The Culinary Institute of America","Bachelor of Professional Studies in Culinary Arts Management","4"
"Nanyang Technological University","College of Sciences","Physics / Applied Physics","4"
"Singapore Institute of Technology","Singapore Institute of Technology (SIT)","Bachelor of Engineering with Honours in Information & Communications Technology (Information Security)","4"
"Nanyang Technological University","College of Engineering","Aerospace Engineering and Economics **","4"
"Singapore Institute of Technology","Singapore Institute of Technology (SIT)","Bachelor of Engineering with Honours in Sustainable Infrastructure Engineering (Building Services)","4"
"Nanyang Technological University","College of Science","Chemistry and Biological Chemistry","4"
"National University of Singapore","YLL School of Medicine","Bachelor of Science (Nursing) (Hons)","4"
"Singapore University of Technology and Design","na","Bachelor of Science (Architecture and Sustainable Design)","4"
"Nanyang Technological University","College of Science","Physics and Applied Physics","4"
"Singapore Institute of Technology","Newcastle University","Bachelor of Engineering with Honours in Marine Engineering","4"
"Singapore Institute of Technology","Newcastle University","Bachelor of Engineering with Honours in Mechanical Design & Manufacturing Engineering","4"
"Singapore Institute of Technology","SIT- Massey University","Bachelor of Food Technology with Honours","4"
"Nanyang Technological University","College of Business (Nanyang Business School)","Business and Computing","4"
"Nanyang Technological University","Sports Science and Management","Sports Science and Management","4"
"Nanyang Technological University","Lee Kong Chian School of Medicine","Medicine #","4"
"Singapore University of Technology and Design","na","Bachelor of Science (Architecture and Sustainable Design) ###","4"
"Singapore Institute of Technology","Newcastle University","Bachelor of Science with Honours in Food & Human Nutrition","4"
"Singapore Institute of Technology","SIT-University of Glasgow","Bachelor of Engineering with Honours in Civil Engineering","4"
"Nanyang Technological University","College of Science","Environmental Earth Systems Sciences ^","3"
"Nanyang Technological University","College of Sciences","Mathematical Sciences","3"
"Singapore Institute of Technology","The Culinary Institute of America","Bachelor of Business Administration in Food Business Management","3"
"National University of Singapore","School of Computing","Bachelor of Computing (Communications and Media)","3"
"Singapore Institute of Technology","Newcastle University","Bachelor of Engineering with Honours in Naval Architecture","3"
"Singapore Institute of Technology","SIT- Newcastle University","Bachelor of Engineering with Honours in Electrical Power Engineering","3"
"National University of Singapore","School of Computing","Bachelor of Computing (Computer Engineering) **","3"
"Singapore Institute of Technology","SIT- Newcastle University","Bachelor of Engineering with Honours in Offshore Engineering ^","3"
"Singapore Institute of Technology","SIT- Newcastle University","Bachelor of Engineering with Honours in Naval Architecture ^","3"
"National University of Singapore","Faculty of Science","Bachelor of Science (Pharmacy) (Hons) #","3"
"National University of Singapore","School of Computing","Bachelor of Computing (Electronic Commerce)","3"
"National University of Singapore","Yong Siew Toh Conservatory of Music","Bachelor of Music","3"
"Nanyang Technological University","College of Business (Nanyang Business School)","Business (3-yr direct Honours Programme)","3"
"Singapore Institute of Technology","DigiPen Institute of Technology","Bachelor of Fine Arts in Digital Arts & Animation","3"
"Singapore Institute of Technology","DigiPen Institute of Technology","Bachelor of Science in Computer Science and Game Design","3"
"Nanyang Technological University","College of Business (Nanyang Business School)","Accountancy (3-yr direct Honours Programme)","3"
"National University of Singapore","YST Conservatory of Music","Bachelor of Music","3"
"Nanyang Technological University","College of Engineering","Double Degree in Engineering and Economics ^","3"
"Singapore Institute of Technology","Singapore Institute of Technology (SIT)","Bachelor of Engineering with Honours in Aircraft Systems Engineering","3"
"Nanyang Technological University","College of Science","Biomedical Sciences and Chinese Medicine # ^","3"
"Nanyang Technological University","College of Business (Nanyang Business School)","Double Degree in Business and Computer Engineering/Computing","3"
"National University of Singapore","School of Computing","Bachelor of Computing (Information Security) **","3"
"National University of Singapore","Faculty of Engineering","Bachelor of Engineering (Engineering Science) ^","3"
"National University of Singapore","Faculty of Engineering","Bachelor of Engineering (Computer Engineering)","3"
"Singapore Institute of Technology","SIT- Newcastle University","Bachelor of Engineering with Honours in Chemical Engineering","3"
"Singapore University of Social Sciences","S R Nathan School of Human Development","Bachelor of Early Childhood Education","3"
"Singapore University of Social Sciences","S R Nathan School of Human Development","Bachelor of Social Work","3"
"Singapore Institute of Technology","SIT- Newcastle University","Bachelor of Engineering with Honours in Mechanical Design and Manufacturing Engineering","3"
"Nanyang Technological University","College of Engineering","Mechanical Engineering and Economics **","3"
"Nanyang Technological University","College of Sciences","Mathematical Science","3"
"Nanyang Technological University","College of Humanities, Arts & Social Sciences","Linguistics And Multilingual Studies","3"
"Nanyang Technological University","College of Engineering","Environmental Engineering and Economics **","3"
"Nanyang Technological University","College of Sciences","Sports Science and Management","3"
"National University of Singapore","Yale-NUS College","Bachelor of Science with Honours ^","3"
"National University of Singapore","Faculty of Engineering","Bachelor of Engineering (Engineering Science)","3"
"Singapore Institute of Technology","SIT- DigiPen Institute of Technology","Bachelor of Engineering with Honours in Systems Engineering (ElectroMechanical Systems)","3"
"Singapore Institute of Technology","Newcastle University","Bachelor of Engineering with Honours in Offshore Engineering","3"
"Singapore Institute of Technology","Technische Universität München","Bachelor of Science in Electrical Engineering & Information Technology ^","2"
"National University of Singapore","Faculty of Science","Bachelor of Science (Data Science and Analytics)","2"
"National University of Singapore","Faculty of Law","Bachelor of Laws (LLB) (Hons) #","2"
"Singapore Institute of Technology","SIT-Trinity College Dublin / Trinity College Dublin","Bachelor in Science (Radiation Therapy) **","2"
"Singapore University of Technology and Design","na","Bachelor of Engineering (Computer Science and Design)","2"
"Nanyang Technological University","College of Engineering","Information Engineering And Media","2"
"Singapore University of Social Sciences","School of Business","Bachelor of Science in Business Analytics","2"
"National University of Singapore","NUS Business School","Bachelor of Science (Real Estate)","2"
